employee_id,role,status,approved_by,approved_on,expires
E001,deploy_production,approved,r.okafor@meridian.example,2026-04-07,2026-12-02
E001,audit_logs_delete,approved,r.okafor@meridian.example,2026-07-06,2027-03-02
E001,break_glass,approved,r.okafor@meridian.example,2026-05-23,2027-09-03
E001,approve_deployment,approved,r.okafor@meridian.example,2025-11-22,2026-12-02
E003,create_vendor,approved,r.okafor@meridian.example,2026-08-01,2026-12-02
E004,approve_deployment,approved,r.okafor@meridian.example,2025-11-23,2027-09-03
E004,modify_payroll,approved,r.okafor@meridian.example,2025-12-09,2027-03-02
E005,approve_deployment,approved,r.okafor@meridian.example,2026-06-27,2026-12-02
E009,audit_logs_delete,approved,r.okafor@meridian.example,2026-07-12,2027-09-03
E011,approve_payment,approved,r.okafor@meridian.example,2025-11-30,2027-03-02
E012,admin_iam,approved,r.okafor@meridian.example,2026-04-17,2027-09-03
E013,security_admin,approved,r.okafor@meridian.example,2026-06-01,2027-03-02
E013,approve_payment,approved,r.okafor@meridian.example,2026-01-29,2027-03-02
E013,approve_payroll,approved,r.okafor@meridian.example,2025-11-08,2027-09-03
E014,approve_payroll,approved,r.okafor@meridian.example,2025-12-25,2027-03-02
E015,approve_deployment,approved,r.okafor@meridian.example,2026-07-09,2027-03-02
E016,modify_payroll,approved,r.okafor@meridian.example,2025-11-25,2027-03-02
E016,break_glass,approved,r.okafor@meridian.example,2026-03-18,2027-09-03
E017,audit_logs_delete,approved,r.okafor@meridian.example,2026-04-22,2027-09-03
E017,approve_payment,approved,r.okafor@meridian.example,2026-06-05,2027-03-02
E018,modify_payroll,approved,r.okafor@meridian.example,2026-03-04,2026-12-02
E018,deploy_production,approved,r.okafor@meridian.example,2026-06-21,2026-12-02
E019,break_glass,approved,r.okafor@meridian.example,2026-01-09,2027-09-03
E020,security_admin,approved,r.okafor@meridian.example,2026-01-12,2027-03-02
E020,modify_payroll,approved,r.okafor@meridian.example,2026-07-12,2026-12-02
E021,approve_payroll,approved,r.okafor@meridian.example,2026-07-05,2027-09-03
E024,approve_deployment,approved,r.okafor@meridian.example,2026-06-23,2026-12-02
E024,deploy_production,approved,r.okafor@meridian.example,2025-12-13,2027-09-03
E025,admin_iam,approved,r.okafor@meridian.example,2026-05-04,2026-12-02
E025,approve_payment,approved,r.okafor@meridian.example,2026-06-14,2027-09-03
E026,audit_logs_delete,approved,r.okafor@meridian.example,2026-05-25,2027-03-02
E027,security_admin,approved,r.okafor@meridian.example,2026-03-25,2027-03-02
E028,admin_iam,approved,r.okafor@meridian.example,2026-07-18,2027-03-02
E029,modify_payroll,approved,r.okafor@meridian.example,2026-07-08,2027-03-02
E029,approve_payment,approved,r.okafor@meridian.example,2026-07-15,2026-12-02
E030,modify_payroll,approved,r.okafor@meridian.example,2026-01-09,2027-03-02
E030,deploy_production,approved,r.okafor@meridian.example,2026-01-18,2027-09-03
E031,create_vendor,approved,r.okafor@meridian.example,2026-05-17,2027-03-02
E032,db_admin_prod,approved,r.okafor@meridian.example,2026-06-23,2027-09-03
E033,deploy_production,approved,r.okafor@meridian.example,2026-05-19,2027-09-03
E034,approve_payment,approved,r.okafor@meridian.example,2026-08-02,2026-12-02
E035,deploy_production,approved,r.okafor@meridian.example,2026-06-20,2026-12-02
E035,audit_logs_delete,approved,r.okafor@meridian.example,2026-07-26,2027-03-02
E036,approve_payroll,approved,r.okafor@meridian.example,2026-05-01,2026-12-02
E036,approve_payment,approved,r.okafor@meridian.example,2026-05-22,2027-09-03
E037,admin_iam,approved,r.okafor@meridian.example,2025-11-22,2027-03-02
E039,approve_payroll,approved,r.okafor@meridian.example,2026-07-19,2026-12-02
E039,audit_logs_delete,approved,r.okafor@meridian.example,2026-06-25,2027-03-02
E040,approve_payroll,approved,r.okafor@meridian.example,2026-05-12,2027-03-02
E042,break_glass,approved,r.okafor@meridian.example,2025-12-23,2027-03-02
E042,approve_payment,approved,r.okafor@meridian.example,2026-06-06,2027-03-02
E043,admin_iam,approved,r.okafor@meridian.example,2026-01-03,2027-03-02
E043,modify_payroll,approved,r.okafor@meridian.example,2025-12-16,2027-03-02
E045,modify_payroll,approved,r.okafor@meridian.example,2026-03-08,2027-03-02
E046,admin_iam,approved,r.okafor@meridian.example,2026-02-15,2027-09-03
E046,create_vendor,approved,r.okafor@meridian.example,2026-05-19,2027-09-03
E047,deploy_production,approved,r.okafor@meridian.example,2026-03-31,2027-03-02
E047,approve_payment,approved,r.okafor@meridian.example,2026-01-24,2027-09-03
E048,modify_payroll,approved,r.okafor@meridian.example,2025-12-16,2027-03-02
E049,audit_logs_delete,approved,r.okafor@meridian.example,2026-03-20,2027-03-02
E049,modify_payroll,approved,r.okafor@meridian.example,2026-07-14,2027-03-02
E053,approve_deployment,approved,r.okafor@meridian.example,2026-03-17,2027-09-03
E054,db_admin_prod,approved,r.okafor@meridian.example,2026-06-22,2027-09-03
E055,create_vendor,approved,r.okafor@meridian.example,2026-01-21,2026-12-02
E057,security_admin,approved,r.okafor@meridian.example,2026-07-06,2027-09-03
E058,security_admin,approved,r.okafor@meridian.example,2026-04-21,2027-03-02
E059,deploy_production,approved,r.okafor@meridian.example,2026-07-31,2027-03-02
E059,break_glass,approved,r.okafor@meridian.example,2026-06-21,2027-09-03
E902,admin_iam,approved,r.okafor@meridian.example,2025-11-11,2027-03-02
E011,create_vendor,approved,r.okafor@meridian.example,2025-12-03,2027-09-03
E029,admin_iam,approved,r.okafor@meridian.example,2026-04-30,2026-12-02
E029,audit_logs_delete,approved,r.okafor@meridian.example,2026-05-04,2027-09-03
