risk_id,category,risk_description,asset,likelihood,impact,inherent_score,risk_band,residual_score,treatment,owner,target_week,status,needs_verification
R-01,Access,Administrative account at a critical third-party service without multi-factor authentication,Third-party service,3,5,15,High (15-25),5,Enable MFA (hardware key or TOTP).,Security Lead,Week 1,Open,Yes
R-02,Access,Privileged productivity-suite account without MFA or separation from daily-use identity,Productivity suite,3,5,15,High (15-25),5,Enable MFA; separate admin identity from daily-use account.,Security Lead,Week 1,Open,Yes
R-03,Secrets,Credentials or API keys at risk of being committed to source control,Source control,3,5,15,High (15-25),5,Enable secret scanning and push protection; rotate anything found; move all secrets to environment variables.,Security Lead,Week 1,Open,Yes
R-04,Availability,Backups taken but never restore-tested,Database service,4,4,16,High (15-25),6,Perform and document one restore test per application; schedule quarterly.,Security Lead,Week 2,Open,Yes
R-05,Access,Single administrator across all systems with no documented recovery path,All systems,3,5,15,High (15-25),5,Document a break-glass procedure; store recovery codes in a sealed offline location; name a trusted contact.,Security Lead,Week 2,Open,No
R-06,Third party,No data processing agreement with subprocessors handling personal data,Cloud services,4,3,12,Medium (8-14),5,Accept each provider's DPA; keep copies; maintain a subprocessor list.,Security Lead,Week 3,Open,Yes
R-07,Privacy,Applications collecting personal data without a published privacy notice or deletion route,Hosted applications,4,4,16,High (15-25),6,Publish a privacy notice per app; implement account deletion; document the lawful basis.,Security Lead,Week 3,Open,Yes
R-08,Vulnerability,Application dependencies not monitored for known vulnerabilities,Hosted applications,4,4,16,High (15-25),6,Enable Dependabot alerts on every repository; set a remediation SLA by severity.,Security Lead,Week 2,Open,No
R-09,Asset,Unmaintained deployments potentially still reachable from the internet,Hosted applications,3,5,15,High (15-25),5,Complete the application inventory; decommission or lock down anything unmaintained.,Security Lead,Week 1,Open,No
R-10,AI,Metered AI service keys without spend caps or usage alerting,AI service,3,4,12,Medium (8-14),5,Set hard spend limits and usage alerts on every AI provider account.,Security Lead,Week 2,Open,Yes
R-11,AI,No documented position on provider retention or training use of submitted data,Hosted applications,4,3,12,Medium (8-14),5,Confirm each provider's data-use terms; disable training on customer data where offered; state it in the privacy notice.,Security Lead,Week 3,Open,Yes
R-12,Logging,No application or administrative access logging,Hosted applications,4,3,12,Medium (8-14),5,Enable platform logs; define a retention period; review monthly.,Security Lead,Week 3,Open,No
R-13,Endpoint,"Workstation holding source code, secrets and business records",Workstation,3,4,12,Medium (8-14),5,Verify FileVault is on; enable Find My; enable automatic OS updates; screen lock under 5 minutes.,Security Lead,Week 1,Open,Yes
R-14,Change,Deployments promoted to production without review or documented rollback,Hosting platform,4,3,12,Medium (8-14),5,Use preview deployments; require a self-review checklist before promoting; document rollback.,Security Lead,Week 3,Open,No
R-15,Payment,Payment integration scope not formally assessed against PCI DSS SAQ-A,Payment processor,3,4,12,Medium (8-14),5,Confirm the integration keeps card data entirely on Stripe; complete SAQ-A; keep it on file.,Security Lead,Week 4,Open,Yes
R-16,Incident,No documented incident response plan,All systems,3,4,12,Medium (8-14),5,"Write a one-page IR plan: detect, contain, assess, notify, learn.",Security Lead,Week 3,Open,No
R-17,Contractual,Contractual security flow-down requirements not assessed,Contracts,3,4,12,Medium (8-14),5,"Review executed contracts for security flow-downs; if CUI is handled, run an 800-171 self-assessment.",Security Lead,Week 4,Open,Yes
R-18,Access,No access offboarding process for contractors,Productivity suite,3,3,9,Medium (8-14),4,Maintain an access list; remove on engagement end; review quarterly.,Security Lead,Week 3,Open,Yes
R-19,Availability,Critical service accounts tied to a single personal identity,Productivity suite,2,5,10,Medium (8-14),4,Move critical accounts to a role address (admin@); ensure recovery methods are current.,Security Lead,Week 2,Open,No
R-20,Documentation,No documented security policy set,Management system,5,2,10,Medium (8-14),4,"Adopt a minimal policy set: acceptable use, access control, incident response, vendor management, data protection.",Security Lead,Week 2,Open,No
R-21,Governance,Assessment performed first-party; no independent review,Management system,5,2,10,Medium (8-14),4,Declare the conflict in every report; seek external review before relying on it commercially.,Security Lead,Week 4,Open,No
R-22,Availability,Source code held in a single location with no independent copy,Source control,2,4,8,Medium (8-14),4,Keep an offline clone of every active repository; refresh monthly.,Security Lead,Week 4,Open,No
